Arrival: S22 Monday-Friday,Passengers
04:50:00,12
05:20:00,34
05:50:00,17
06:20:00,26
06:50:00,13
07:05:00,39
07:20:00,17
07:35:00,19
07:50:00,18
08:05:00,14
08:20:00,38
08:35:00,18
08:50:00,7
09:05:00,23
09:20:00,27
09:35:00,9
09:50:00,20
10:05:00,8
10:20:00,21
10:50:00,10
11:20:00,28
11:50:00,31
12:20:00,35
12:50:00,17
13:20:00,16
13:50:00,31
14:20:00,7
14:50:00,22
15:05:00,24
15:20:00,6
15:35:00,8
15:50:00,39
16:05:00,33
16:20:00,22
16:35:00,16
16:50:00,7
17:05:00,29
17:20:00,5
17:35:00,23
17:50:00,16
18:05:00,9
18:20:00,14
18:35:00,35
18:50:00,18
19:05:00,22
19:20:00,17
19:35:00,8
19:50:00,22
20:05:00,22
20:20:00,37
20:35:00,14
20:50:00,21
21:05:00,24
21:20:00,30
21:35:00,33
21:50:00,6
22:05:00,37
22:20:00,36
22:35:00,27
22:50:00,28
23:05:00,5
23:20:00,40
23:35:00,12
23:50:00,18
00:05:00,26
00:20:00,12
00:35:00,35
00:50:00,24
